ID,Item Name,Category,Category Label,Default Serving,Base Weight (g),Calories (100g),Protein (g),Carbs (g),Fats (g),Fiber (g),Potassium (mg),Sodium (mg),Calcium (mg),Iron (mg),Magnesium (mg),Zinc (mg),Vitamin B12 (mcg),Folate B9 (mcg),Vitamin D (mcg),Oil Level Options,Consistency Options
"roti_wheat_plain","Wheat Roti / Chapati (No Ghee)","rotis","Rotis & Breads","1 roti (35g)",100,242,8.5,50,1.5,7,180,110,28,2.8,65,1.6,0,38,0,"No","No"
"roti_wheat_ghee","Wheat Roti with Ghee","rotis","Rotis & Breads","1 roti (40g)",100,335,7.8,44,13.5,6.2,175,115,30,2.6,60,1.5,0.05,35,0.05,"No","No"
"roti_jowar","Jowar Bhakri / Roti","rotis","Rotis & Breads","1 bhakri (50g)",100,240,7.2,52,1.4,8.2,250,8,35,4.1,95,2,0,20,0,"No","No"
"roti_bajra","Bajra Roti","rotis","Rotis & Breads","1 roti (50g)",100,258,8,54,2.5,9,290,10,42,8,120,3.1,0,45,0,"No","No"
"roti_ragi","Ragi Roti / Nachni","rotis","Rotis & Breads","1 roti (50g)",100,228,5.5,48,1.2,8.5,330,12,344,3.9,135,2.3,0,18,0,"No","No"
"roti_makki","Makki Ki Roti","rotis","Rotis & Breads","1 roti (50g)",100,270,6.8,55,3,7.5,280,15,20,2.7,90,1.8,0,25,0,"No","No"
"roti_paratha_plain","Plain Tawa Paratha","rotis","Rotis & Breads","1 paratha (60g)",100,330,7,48,12,5.5,160,190,24,2.2,50,1.4,0.05,32,0.05,"No","No"
"roti_paratha_aloo","Aloo Paratha","rotis","Rotis & Breads","1 paratha (100g)",100,260,5.2,38,9.5,3.8,240,280,22,1.8,45,1.2,0.05,28,0.05,"No","No"
"roti_paratha_paneer","Paneer Paratha","rotis","Rotis & Breads","1 paratha (100g)",100,290,10.5,34,12.5,3.2,210,260,140,2.1,55,2,0.4,30,0.2,"No","No"
"roti_naan_plain","Tandoori Roti / Plain Naan","rotis","Rotis & Breads","1 piece (75g)",100,295,8.5,56,3.5,3,130,320,26,1.5,30,1,0,42,0,"No","No"
"ing_bread_wheat","Whole Wheat Bread","rotis","Rotis & Breads","1 slice (35g)",100,247,13,41,3.4,6,210,430,65,2.5,60,1.8,0,44,0,"No","No"
"ing_bread_white","White Bread","rotis","Rotis & Breads","1 slice (30g)",100,265,9,49,3.2,2.7,115,490,50,1.4,25,0.8,0,38,0,"No","No"
"seed_chia","Chia Seeds","nuts_seeds","Nuts & Seeds","1 tbsp (15g)",100,486,16.5,42.1,30.7,34.4,407,16,631,7.7,335,4.6,0,49,0,"No","No"
